Code	Descriptor
01	Animals; live	
0101	Horses, asses, mules and hinnies; live	
010121	Horses; live, pure-bred breeding animals	
0101210010	Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, stallions	
0101210015	Horses; live, pure-bred breeding animals, thoroughbred, race breeding stock, mares	
0101210017	Horses; live, pure-bred breeding animals, thoroughbred, sport breeding stock, excluding race breeding stock, stallions	
0101210019	Horses; live, pure-bred breeding animals, thoroughbred, sport breeding stock, excluding race breeding stock, mares	
0101210023	Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, stallions	
0101210027	Horses; live, pure-bred breeding animals, thoroughbred, breeding stock, excluding race or sport breeding stock, mares	
0101210031	Horses; live, pure-bred breeding animals, standardbred, race breeding stock, stallions	
0101210033	Horses; live, pure-bred breeding animals, standardbred, race breeding stock, mares	
0101210035	Horses; live, pure-bred breeding animals, standardbred, sport breeding stock, excluding race breeding stock, stallions	
0101210037	Horses; live, pure-bred breeding animals, standardbred, sport breeding stock, excluding race breeding stock, mares	
0101210041	Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, stallions	
0101210049	Horses; live, pure-bred breeding animals, standardbred, breeding stock, excluding race or sport breeding stock, mares	
010129	Horses; live, other than pure-bred breeding animals	
0101290010	Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, stallions, colts, and geldings	
0101290013	Horses; live, other than pure-bred breeding animals, for racing, thoroughbred, mares and fillies	
0101290015	Horses; live, other than pure-bred breeding animals, for racing, standardbred, stallions, colts, and geldings	
0101290017	Horses; live, other than pure-bred breeding animals, for racing, standardbred, mares and fillies	
0101290021	Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, stallions, colts, and geldings	
0101290023	Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, thoroughbred, mares and fillies	
0101290027	Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, standardbred, stallions, colts, and geldings	
0101290029	Horses; live, other than pure-bred breeding animals, sport horses, other than for racing, standardbred, mares and fillies	
0101290033	Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, stallions	
0101290035	Horses; live, other than pure-bred breeding animals, excluding horses for racing or sport horses, mares	
0101290039	Horses; live, other than pure-bred breeding animals, excluding sport horses or horses for racing, other than mares or stallions	
010130	Asses; live	
0101300010	Asses; live, pure-bred breeding animals	
0101300019	Asses; live, other than pure-bred breeding animals	
010190	Mules and hinnies; live	
0101900000	Mules and hinnies; live	
0102	Bovine animals; live	
